mcule_id	smiles	insoluble
M1051516	CCOC=CC(O)(CNC(=O)OCC)C(F)(F)F	0
M1114810	CCSC1=NN=C2C(OC(NC3=CC=CC=C23)C2=CC=C(F)C=C2)=N1	0
M1114811	OC1=CC=C(C=C2SC3=CC=CC=C3C2=O)C=C1	0
M1114812	CN1C(=O)N(CCOC2=CC(C)=CC=C2)C2=C1C=CC=C2	0
M761256	Br.CC1CCCC(C)N1CC1=CN2C=CC(Cl)=CC2=N1	0
M1114813	CC(=C)C1=CC=CC(=C1)C(C)(C)NC(=O)NCCC1=CC=CC=C1	0
M1051517	COC1=CC(C=C2SC3=CC=CC=C3C2=O)=CC=C1O	0
M761308	CCC1=NC2=C(C3=C(CCC3)S2)C2=NNC(=S)N12	0
M1114814	CCC1=NN=C2N1N=C(C1=CC=C(C)C(C)=C1)C1=C2C=CC=C1	0
M1114815	CCOC(=O)C1=CSC(NC(=O)C2=CC3=C(OC2=O)C=CC=C3)=N1	0
M1051518	BrC1=CC=C(OCC(=O)NC2=CC=CC=C2C2=NC3=C(N2)C=CC=C3)C=C1	0
M1051519	COC1=CC=C2C(NC3=CC=CC=N3)OC(=O)C2=C1OC	0
M1051520	O=C(C1C(C2=CC=CC=C2)C(C#N)(C#N)C2C=CC3=CC=CC=C3N12)C1=CC=CS1	0
M761387	Br.O=C(CN(CC1=CC=CC=C1)C1=NCCS1)C1=CC=CC=C1	0
M1114816	CCOC1=CC=C(C=C1)C(=O)C(C)SC1=NC(C)=CC(=O)N1	0
M1051582	O=C1NC(C2=CC=CC=C2)C(C2=NC3=C(N2)C=CC=C3)=C(N1)C1=CC=CC=C1	0
M761452	COC1=CC=C(C=C1)N(C(=O)NC1=CC=C(Cl)C=C1)C1=NCCC1	0
M761464	NC1=C(C#N)C2=NC3=C(C=CC=C3)N=C2N1C1=CC=CC=C1	0
M1051521	NC1=C(C#N)C2=NC3=C(C=CC=C3)N=C2N1C1=CC=C(Br)C=C1	0
M1109001	CC1=CC=CC(=C1)N1C(N)=C(C#N)C2=NC3=C(C=CC=C3)N=C12	0
M761467	CCCCCN1C(N)=C(C#N)C2=NC3=C(C=CC=C3)N=C12	0
M1114817	COC1=CC=C(C=C1)C(=O)C(C)SC1=NC(C)=CC(=O)N1	0
M761485	BrC1=CC=C(OCC(=O)NC2=NN=C(S2)C2=CC=CN=C2)C=C1	0
M1114818	CC1=NN(CC(O)CN2C3=C(C=CC=C3)C3=C2C=CC=C3)C(C)=C1	0
M1051522	NC1=NC2=C(C=CC=C2)N1CCOC1=CC=CC=C1	0
M1114819	FC(F)(F)C1=CN=C(NC(=O)C=CC2=CC=C(Cl)C=C2)C(Cl)=C1	0
M761539	CCCCCN(C(=O)NC(=O)OCC1COC2=CC=CC=C2O1)S(C)(=O)=O	0
M1051526	CN(C)C1=CC=C(NC2=NC3=C(C=CC=C3)N=C2NS(=O)(=O)C2=CC=CS2)C=C1	0
M1114820	CC(NC(=O)C1=CC=C(F)C=C1)C12CC3CC(CC(C3)C1)C2	0
M1051523	OC(=O)COC1=CC=CC=C1C=C1N=C(OC1=O)C1=CC=CC=C1	0
M1051524	OCCNC1=NC2=C(C=CC=C2)N1CC1=CC=CC=C1	0
M1051525	COC1=CC=CC=C1N1C(=O)CC(NC2=CC=C(C=C2)N2CCOCC2)C1=O	0
M1051528	CCCCN(CCCC)CC(=O)C(C#N)=C1NC(=CS1)C1=CC=CC=C1	0
M1051529	O=C(CN1CCCC1)C(C#N)=C1NC(=CS1)C1=CC=CC=C1	0
M1051527	COC1=CC=CC=C1N1CCN(CC(=O)C(C#N)C2=NC(=CS2)C2=CC=C(Br)C=C2)CC1	0
M1114821	[O-][N+](=O)C1=CC=C(C=C2N=C3CCCCCN3C2=O)C=C1	0
M1114822	CCCCN(C)CC(=O)C(C#N)=C1NC(=CS1)C1=CC=CC=C1	0
M1051530	ClC1=CC=CC(NC(=O)C2CC3CCCC(C2)C3=O)=C1Cl	0
M761644	CC1=NC(SC(F)F)=C2C3=C(CCCC3)SC2=N1	0
M1114823	O=C1NC2=CC=CC=C2C1=C(C#N)C1=CC=CC=N1	0
M1051531	BrC1=CC=C(C=C1)C(=O)CSC1=NC2=C(N1)C=CC=C2	0
M761667	[Br-].CC1=C(N2C=CC=CC2=N1)C1=CSC([NH2+]C2=CC=C(Cl)C=C2)=N1	0
M1051532	O=C(NCC1=CC=CC=C1)[C@H](CC1=CC=CC=C1)N1C(=O)C2=CC=CC=C2C1=O	0
M859637	[Br-].CC1=NC(C)=C(S1)C1=CSC([NH2+]C2=CC=CC=C2)=N1	0
M761672	CC1=CC(=O)C=C(C)N1C1=CC=C(Cl)C(Cl)=C1	0
M1060773	CC1=CC=C(C=C1)C(=O)NC(NCC1=CC=CC=C1)C(Cl)(Cl)Cl	0
M761675	CN(C)C1=C(N=C(O1)C1=CC=CC=C1)S(=O)(=O)C1=CC=CC=C1	0
M1114824	COC1=CC=C2C(=O)N(C(=O)C2=C1OC)C1=CC=C(Cl)C=C1	0
M761677	OC1(CC=NN1C(=O)C1=CNC2=C1C=CC=C2)C(F)(F)F	0
M1051534	CC1=CC=C(C=C1C)N1CN=C2SCC(=O)N2C1	0
M761710	NC1=NC2=NC3=C(C=CC=C3)N2C2(CCCCC2)N1	0
M1051533	CC1(C)CC2=C(SC3=C2C2=NC(COC4=CC=CC=C4)=NN2C=N3)C(C)(C)N1	0
M1114825	CC1(C)CC(=O)C2=C(C1)NC1=CC=CC=C1NC2C1=C(O)C=CC2=C1C=CC=C2	0
M1051535	FC(F)(F)C(=O)C1=CC(C#N)=C(SCC=C)N=C1C1=CC=CC=C1	0
M761783	COC1=CC=CC(C2N=C(N)NC3=NC4=C(C=CC=C4)N23)=C1O	0
M1114826	O=C1N(CSC2=NC=NC3=C2C2=C(CCCC2)S3)C(=O)C2=CC=CC=C12	1
M1051536	COC(=O)C1=C(C)NC2=C(C1C1=CC=C(O)C(OC)=C1)C(=O)CC(C)(C)C2	0
M761813	CCC(C)N1C(NC(=O)C2=CC=C(Br)O2)=C(C#N)C2=NC3=C(C=CC=C3)N=C12	0
M761826	C(CC1=NC2=C(N1)C=CC=C2)CC1=NC2=C(N1)C=CC=C2	0
M761830	CCCCSC1=C(C=C(C(=O)OCC)C(=O)N1)C#N	0
M1051537	[O-][N+](=O)C1=CC=C(O1)C(=O)N1CCC2=CC=CC=C2C1	0
M761853	COC1=CC=C(C=C1)C(=O)NC(=O)NC1=NC=CC=C1C	0
M771335	CC1CN(CC(C)O1)C1=NN=C(C2=CC=CC=C2)C2=C1C=CC=C2	0
M771533	FC(F)SC1=NN=C(C2=CC=CC=C2)C2=C1C=CC=C2	0
M1051538	CC1CN(CC(C)O1)C1=NC(C)=NC2=C1C1=C(CCC1)S2	0
M1051539	ClC1=CC=C2OC(=O)C(=CC2=C1)C1=NN=C(NC2=CC=CC=C2)S1	0
M1114827	OS(O)(=O)=O.O=C1C(CCCC1=CC1=CC=CS1)=CC1=CC=CS1	0
M1114828	COC1=CC=C(C=C1OC)C1=NOC(COC(=O)C2=CC=C(Br)C=C2)C1	0
M1051540	CC(C)=C1SC(=NC1=O)N1CCN(CC1)C1=CC=CC=C1	0
M1051541	Br.CC1=CC=C(NC2=NC(=CS2)C2=CC=C(Cl)C=C2)C=C1	0
M762010	CN1C(=O)N(C)C(=O)C(=CC2=C3N=C(N4CCCC4)C4=C(C=CC=C4)N3N=C2C)C1=O	0
M1114829	OC(=O)C(O)=O.CC1=CC=C(C=C1)S(=O)(=O)NC(C)(C)CN1CCC(CC2=CC=CC=C2)CC1	0
M1114830	OC(=O)C(O)=O.CN(CC(C)(C)NS(=O)(=O)C1=CC=CC=C1)C1CCCCC1	0
